cts,date,Accelerometer [m/s2],acc1,acc2,temperature [°C]
79506.89320603052,2024-03-16T10:11:11.618Z,5.175059952038369,-1.8465227817745804,3.13189448441247,19.546875
79511.91988944761,2024-03-16T10:11:11.623Z,5.2685851318944845,-1.8633093525179856,3.016786570743405,19.546875
79516.9465728647,2024-03-16T10:11:11.628Z,5.489208633093525,-1.7074340527577938,2.9808153477218227,19.546875
79521.9732562818,2024-03-16T10:11:11.633Z,5.889688249400479,-1.486810551558753,3.223021582733813,19.546875
79526.99993969889,2024-03-16T10:11:11.638Z,6.249400479616307,-1.1486810551558753,3.776978417266187,19.546875
79532.02662311598,2024-03-16T10:11:11.643Z,6.551558752997602,-0.8201438848920863,4.357314148681056,19.546875
79537.05330653307,2024-03-16T10:11:11.648Z,6.827338129496403,-0.4580335731414868,4.836930455635492,19.546875
79542.07998995016,2024-03-16T10:11:11.653Z,7.004796163069544,-0.17266187050359713,5.199040767386091,19.546875
79547.10667336725,2024-03-16T10:11:11.657Z,6.940047961630696,0.03836930455635491,5.489208633093525,19.546875
79552.13335678434,2024-03-16T10:11:11.662Z,6.7314148681055155,0.26139088729016785,5.669064748201439,19.546875
79557.16004020143,2024-03-16T10:11:11.667Z,6.422062350119904,0.36211031175059955,5.755395683453237,19.546875
79562.18672361852,2024-03-16T10:11:11.672Z,6.103117505995204,0.3333333333333333,5.776978417266187,19.546875
79567.21340703561,2024-03-16T10:11:11.677Z,5.961630695443645,0.2517985611510791,5.73621103117506,19.546875
79572.2400904527,2024-03-16T10:11:11.682Z,5.817745803357314,0.11990407673860912,5.700239808153477,19.546875
79577.2667738698,2024-03-16T10:11:11.687Z,5.748201438848921,-0.016786570743405275,5.697841726618705,19.546875
79582.29345728688,2024-03-16T10:11:11.692Z,5.719424460431655,-0.18944844124700239,5.712230215827338,19.546875
79587.32014070397,2024-03-16T10:11:11.697Z,5.7745803357314145,-0.34292565947242204,5.7170263788968825,19.546875
79592.34682412106,2024-03-16T10:11:11.702Z,5.956834532374101,-0.5203836930455635,5.729016786570743,19.546875
79597.37350753816,2024-03-16T10:11:11.707Z,6.160671462829736,-0.6954436450839329,5.805755395683454,19.546875
79602.40019095525,2024-03-16T10:11:11.712Z,6.453237410071942,-0.8561151079136691,5.827338129496403,19.546875
79607.42687437234,2024-03-16T10:11:11.717Z,6.894484412470024,-1.040767386091127,5.808153477218226,19.546875
79612.45355778943,2024-03-16T10:11:11.722Z,7.2685851318944845,-1.2685851318944845,5.7745803357314145,19.546875
79617.48024120652,2024-03-16T10:11:11.727Z,7.508393285371703,-1.498800959232614,5.76978417266187,19.546875
79622.50692462361,2024-03-16T10:11:11.732Z,7.623501199040767,-1.683453237410072,5.625899280575539,19.546875
79627.5336080407,2024-03-16T10:11:11.737Z,7.788968824940048,-1.839328537170264,5.390887290167866,19.546875
79632.56029145779,2024-03-16T10:11:11.742Z,8.167865707434053,-2.011990407673861,5.184652278177458,19.546875
